"ID","SRV_ID","ORD_ID","DRV_ID","AUTO_ID","OPR_REG_ID","OPR_UPD_ID","RGN_ID","DVC_ID","BGN_RLY","END_RLY","TME_UPD","ABS_SEC","NM_ORD","NM_LGT","CALL","NOM","AUTO_CLR","AUTO_MDL","DST","FL_ONLINE","QUEUE","ST","MRK","ENB"
37284,243,474669,13475,21503,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,841,0,"синий","ВАЗ 2112","Юго-восток","2","513245",9,0,1,0,0
37287,256,0,12652,20702,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,10,0,"серый","ВАЗ 2114","Север","2","513197",9,0,1,0,0
37290,249,0,12952,20993,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,99,0,"черный","Хёндай гетц","Юго-запад","2","513166",9,0,1,0,0
37292,256,474732,12562,20613,0,1700,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,507,"о4**кс11","серебристый","ВАЗ 2115","Юго-запад","2",9,20,0,1,0
37294,245,0,14082,27021,0,1820,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,1203,"н3**ср11","синий","ВАЗ 2109","Юго-запад","2",9,10,0,1,0
37295,246,0,13229,21261,0,1804,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2,0,314,"о5**ех11","серебристый","Дэу Нексия","Север","2",9,40,0,1,0
37296,246,474635,13177,21214,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,57,0,"серый","Рено Логан","Юго-запад","2","513207",9,0,1,0,0
37297,249,474410,12942,20983,0,1763,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",1,0,89,"о3**вв11","темно-синий","Ауди А6","Юго-запад","2",9,20,0,1,0
37298,243,474687,13485,21513,0,1743,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5,0,873,"о0**ех11","черный","Рено Логан","0","2",9,20,0,1,0
37299,249,474735,12928,20969,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,74,0,"черный","Дэу Нексия","Юго-запад","2","513310",9,0,1,0,0
37300,249,0,12905,20946,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,49,0,"серебристый","ГАЗ 31105","Север","2","513068",9,0,1,0,0
37303,246,474481,13408,24776,0,1804,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,298,"о9**кн11","черный","Шевроле - Авео","Юго-запад","2",9,20,0,1,0
37304,249,0,13444,21472,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,5155,0,"серебристый","Шевроле - Круз","Север","2","512515",9,0,1,0,0
37305,243,0,12755,20804,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,36,0,"серебристый","ВАЗ 2111","Юго-запад","2","513186",9,0,1,0,0
37306,256,0,12683,20732,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,89,0,"черный","ВАЗ 2110","Юго-запад","2","513127",9,0,1,0,0
37307,249,474690,12862,20903,0,1763,-1,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2,0,1,"о0**еу11","серебристый","Дэу Нексия","0","2",9,20,0,1,0
37308,246,0,13154,21192,0,1804,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,33,"н8**уе11","темно-синий","Хёндай гетц","Юго-восток","2",9,10,0,1,0
37309,246,474656,12836,20877,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,226,0,"черный","Лексус ЛС-400","Юго-запад","2","513234",9,0,1,0,0
